Confirmed,Deaths,States,Recovered,Date,Id
3563,93,Alabama,,12-Apr,1
272,8,Alaska,66,12-Apr,2
3542,115,Arizona,,12-Apr,4
1280,27,Arkansas,367,12-Apr,5
22795,640,California,,12-Apr,6
7307,289,Colorado,,12-Apr,8
12035,554,Connecticut,,12-Apr,9
1625,35,Delaware,191,12-Apr,10
1875,50,District of Columbia,493,12-Apr,11
19895,461,Florida,,12-Apr,12
12452,433,Georgia,,12-Apr,13
133,5,Guam,58,12-Apr,66
499,9,Hawaii,300,12-Apr,15
1407,27,Idaho,,12-Apr,16
20852,720,Illinois,,12-Apr,17
7928,343,Indiana,,12-Apr,18
1587,41,Iowa,674,12-Apr,19
1344,56,Kansas,,12-Apr,20
1963,97,Kentucky,464,12-Apr,21
20595,840,Louisiana,,12-Apr,22
633,19,Maine,266,12-Apr,23
8225,236,Maryland,456,12-Apr,24
25475,756,Massachusetts,,12-Apr,25
24244,1479,Michigan,433,12-Apr,26
1621,70,Minnesota,842,12-Apr,27
2781,96,Mississippi,,12-Apr,28
4269,118,Missouri,,12-Apr,29
387,6,Montana,169,12-Apr,30
791,17,Nebraska,,12-Apr,31
2836,112,Nevada,,12-Apr,32
929,23,New Hampshire,236,12-Apr,33
61850,2350,New Jersey,,12-Apr,34
1245,26,New Mexico,235,12-Apr,35
189033,9385,New York,23887,12-Apr,36
4570,89,North Carolina,,12-Apr,37
308,7,North Dakota,121,12-Apr,38
6604,253,Ohio,,12-Apr,39
1970,96,Oklahoma,865,12-Apr,40
1527,52,Oregon,,12-Apr,41
22938,557,Pennsylvania,,12-Apr,42
897,44,Puerto Rico,,12-Apr,72
2665,63,Rhode Island,35,12-Apr,44
3320,82,South Carolina,,12-Apr,45
730,6,South Dakota,197,12-Apr,46
5508,106,Tennessee,1504,12-Apr,47
13677,283,Texas,2014,12-Apr,48
2303,18,Utah,,12-Apr,49
727,27,Vermont,15,12-Apr,50
5274,141,Virginia,,12-Apr,51
10609,506,Washington,,12-Apr,53
593,6,West Virginia,83,12-Apr,54
3341,144,Wisconsin,,12-Apr,55
270,0,Wyoming,137,12-Apr,56
0,0,American Samoa,,12-Apr,60
11,2,Northern Mariana Islands,,12-Apr,69
51,1,Virgin Islands,43,12-Apr,78
3734,99,Alabama,,13-Apr,1
277,8,Alaska,85,13-Apr,2
0,0,American Samoa,,13-Apr,60
3705,122,Arizona,,13-Apr,4
1410,29,Arkansas,391,13-Apr,5
23931,714,California,,13-Apr,6
7691,306,Colorado,,13-Apr,8
13381,602,Connecticut,,13-Apr,9
1758,41,Delaware,213,13-Apr,10
1955,52,District of Columbia,507,13-Apr,11
21019,499,Florida,,13-Apr,12
13315,465,Georgia,,13-Apr,13
133,5,Guam,58,13-Apr,66
504,9,Hawaii,310,13-Apr,15
1426,27,Idaho,,13-Apr,16
22025,798,Illinois,,13-Apr,17
8359,350,Indiana,,13-Apr,18
1710,41,Iowa,741,13-Apr,19
1390,62,Kansas,,13-Apr,20
2018,113,Kentucky,607,13-Apr,21
21016,884,Louisiana,,13-Apr,22
698,19,Maine,273,13-Apr,23
8936,262,Maryland,603,13-Apr,24
26867,844,Massachusetts,,13-Apr,25
25635,1602,Michigan,447,13-Apr,26
1621,70,Minnesota,842,13-Apr,27
2942,98,Mississippi,,13-Apr,28
4515,123,Missouri,,13-Apr,29
394,7,Montana,171,13-Apr,30
814,17,Nebraska,,13-Apr,31
2990,114,Nevada,,13-Apr,32
985,23,New Hampshire,239,13-Apr,33
64584,2443,New Jersey,,13-Apr,34
1262,26,New Mexico,295,13-Apr,35
195749,10058,New York,23887,13-Apr,36
4886,94,North Carolina,,13-Apr,37
331,8,North Dakota,127,13-Apr,38
11,2,Northern Mariana Islands,,13-Apr,69
6975,274,Ohio,,13-Apr,39
2069,99,Oklahoma,865,13-Apr,40
1584,53,Oregon,,13-Apr,41
24292,589,Pennsylvania,,13-Apr,42
903,45,Puerto Rico,,13-Apr,72
2665,63,Rhode Island,135,13-Apr,44
3391,82,South Carolina,,13-Apr,45
868,6,South Dakota,207,13-Apr,46
5610,109,Tennessee,1671,13-Apr,47
14275,305,Texas,2269,13-Apr,48
2363,13,Utah,218,13-Apr,49
748,28,Vermont,15,13-Apr,50
51,1,Virgin Islands,43,13-Apr,78
5747,149,Virginia,,13-Apr,51
10635,513,Washington,,13-Apr,53
611,8,West Virginia,85,13-Apr,54
3428,154,Wisconsin,,13-Apr,55
275,1,Wyoming,138,13-Apr,56
3953,114,Alabama,,14-Apr,1
285,9,Alaska,98,14-Apr,2
0,0,American Samoa,,14-Apr,60
3809,131,Arizona,249,14-Apr,4
1498,32,Arkansas,427,14-Apr,5
25356,767,California,,14-Apr,6
7950,327,Colorado,,14-Apr,8
13989,671,Connecticut,,14-Apr,9
1926,43,Delaware,277,14-Apr,10
2058,67,District of Columbia,518,14-Apr,11
21628,571,Florida,,14-Apr,12
14578,525,Georgia,,14-Apr,13
133,5,Guam,66,14-Apr,66
511,9,Hawaii,315,14-Apr,15
1464,33,Idaho,,14-Apr,16
23248,868,Illinois,,14-Apr,17
8527,387,Indiana,,14-Apr,18
1899,49,Iowa,741,14-Apr,19
1441,69,Kansas,,14-Apr,20
2048,106,Kentucky,629,14-Apr,21
21518,1013,Louisiana,,14-Apr,22
735,20,Maine,292,14-Apr,23
9472,302,Maryland,607,14-Apr,24
28164,844,Massachusetts,,14-Apr,25
27001,1768,Michigan,452,14-Apr,26
1695,79,Minnesota,909,14-Apr,27
3087,111,Mississippi,,14-Apr,28
4746,149,Missouri,,14-Apr,29
399,7,Montana,197,14-Apr,30
897,20,Nebraska,,14-Apr,31
3134,126,Nevada,,14-Apr,32
922,25,New Hampshire,249,14-Apr,33
68824,2805,New Jersey,,14-Apr,34
1345,31,New Mexico,304,14-Apr,35
203020,10842,New York,23887,14-Apr,36
5113,112,North Carolina,,14-Apr,37
341,8,North Dakota,138,14-Apr,38
11,2,Northern Mariana Islands,,14-Apr,69
7285,324,Ohio,,14-Apr,39
2184,108,Oklahoma,1060,14-Apr,40
1633,55,Oregon,,14-Apr,41
25465,691,Pennsylvania,,14-Apr,42
923,45,Puerto Rico,,14-Apr,72
3251,80,Rhode Island,135,14-Apr,44
3553,97,South Carolina,,14-Apr,45
988,6,South Dakota,261,14-Apr,46
5827,124,Tennessee,1969,14-Apr,47
15006,342,Texas,2580,14-Apr,48
2417,18,Utah,218,14-Apr,49
752,29,Vermont,15,14-Apr,50
51,1,Virgin Islands,44,14-Apr,78
6182,154,Virginia,721,14-Apr,51
10799,530,Washington,,14-Apr,53
640,9,West Virginia,147,14-Apr,54
3555,170,Wisconsin,,14-Apr,55
282,1,Wyoming,140,14-Apr,56
4075,118,Alabama,,15-Apr,1
293,9,Alaska,106,15-Apr,2
0,0,American Samoa,,15-Apr,60
3964,142,Arizona,385,15-Apr,4
1569,33,Arkansas,489,15-Apr,5
26686,860,California,,15-Apr,6
7956,328,Colorado,,15-Apr,8
14755,868,Connecticut,,15-Apr,9
2014,46,Delaware,354,15-Apr,10
2197,72,District of Columbia,530,15-Apr,11
22511,596,Florida,,15-Apr,12
14987,552,Georgia,,15-Apr,13
135,5,Guam,73,15-Apr,66
524,9,Hawaii,333,15-Apr,15
1473,39,Idaho,,15-Apr,16
24593,949,Illinois,,15-Apr,17
8960,436,Indiana,,15-Apr,18
1995,53,Iowa,908,15-Apr,19
1504,71,Kansas,,15-Apr,20
2210,115,Kentucky,653,15-Apr,21
21951,1103,Louisiana,,15-Apr,22
770,24,Maine,305,15-Apr,23
10032,311,Maryland,607,15-Apr,24
29918,1108,Massachusetts,,15-Apr,25
28059,1921,Michigan,452,15-Apr,26
1809,87,Minnesota,940,15-Apr,27
3360,122,Mississippi,,15-Apr,28
4791,153,Missouri,,15-Apr,29
404,7,Montana,209,15-Apr,30
901,20,Nebraska,,15-Apr,31
3211,131,Nevada,,15-Apr,32
1139,32,New Hampshire,365,15-Apr,33
71030,3156,New Jersey,,15-Apr,34
1484,36,New Mexico,340,15-Apr,35
214454,11617,New York,23887,15-Apr,36
5340,130,North Carolina,,15-Apr,37
365,9,North Dakota,142,15-Apr,38
13,2,Northern Mariana Islands,,15-Apr,69
7794,362,Ohio,,15-Apr,39
2263,123,Oklahoma,1115,15-Apr,40
1663,58,Oregon,,15-Apr,41
26753,779,Pennsylvania,,15-Apr,42
974,51,Puerto Rico,,15-Apr,72
3251,80,Rhode Island,168,15-Apr,44
3656,106,South Carolina,,15-Apr,45
1168,6,South Dakota,329,15-Apr,46
5827,124,Tennessee,2196,15-Apr,47
15907,375,Texas,3150,15-Apr,48
2548,20,Utah,218,15-Apr,49
759,29,Vermont,15,15-Apr,50
51,1,Virgin Islands,44,15-Apr,78
6500,195,Virginia,752,15-Apr,51
10942,552,Washington,,15-Apr,53
702,10,West Virginia,211,15-Apr,54
3721,183,Wisconsin,,15-Apr,55
287,1,Wyoming,129,15-Apr,56
4345,133,Alabama,,16-Apr,1
300,9,Alaska,110,16-Apr,2
0,0,American Samoa,,16-Apr,60
4237,150,Arizona,460,16-Apr,4
1620,37,Arkansas,548,16-Apr,5
27677,956,California,,16-Apr,6
8286,355,Colorado,,16-Apr,8
15884,971,Connecticut,,16-Apr,9
2070,55,Delaware,378,16-Apr,10
2350,81,District of Columbia,552,16-Apr,11
23343,668,Florida,,16-Apr,12
15669,587,Georgia,,16-Apr,13
135,5,Guam,86,16-Apr,66
530,9,Hawaii,359,16-Apr,15
1587,41,Idaho,,16-Apr,16
25734,1072,Illinois,,16-Apr,17
9542,477,Indiana,,16-Apr,18
2141,60,Iowa,987,16-Apr,19
1615,80,Kansas,,16-Apr,20
2435,129,Kentucky,862,16-Apr,21
22532,1156,Louisiana,,16-Apr,22
796,27,Maine,333,16-Apr,23
10784,319,Maryland,736,16-Apr,24
