Province_State,Confirmed,Deaths,Recovered,date
Alabama,3563,93,,12-Apr
Alaska,272,8,66,12-Apr
Arizona,3542,115,,12-Apr
Arkansas,1280,27,367,12-Apr
California,22795,640,,12-Apr
Colorado,7307,289,,12-Apr
Connecticut,12035,554,,12-Apr
Delaware,1625,35,191,12-Apr
Diamond Princess,49,0,0,12-Apr
District of Columbia,1875,50,493,12-Apr
Florida,19895,461,,12-Apr
Georgia,12452,433,,12-Apr
Grand Princess,103,0,0,12-Apr
Guam,133,5,58,12-Apr
Hawaii,499,9,300,12-Apr
Idaho,1407,27,,12-Apr
Illinois,20852,720,,12-Apr
Indiana,7928,343,,12-Apr
Iowa,1587,41,674,12-Apr
Kansas,1344,56,,12-Apr
Kentucky,1963,97,464,12-Apr
Louisiana,20595,840,,12-Apr
Maine,633,19,266,12-Apr
Maryland,8225,236,456,12-Apr
Massachusetts,25475,756,,12-Apr
Michigan,24244,1479,433,12-Apr
Minnesota,1621,70,842,12-Apr
Mississippi,2781,96,,12-Apr
Missouri,4269,118,,12-Apr
Montana,387,6,169,12-Apr
Nebraska,791,17,,12-Apr
Nevada,2836,112,,12-Apr
New Hampshire,929,23,236,12-Apr
New Jersey,61850,2350,,12-Apr
New Mexico,1245,26,235,12-Apr
New York,189033,9385,23887,12-Apr
North Carolina,4570,89,,12-Apr
North Dakota,308,7,121,12-Apr
Ohio,6604,253,,12-Apr
Oklahoma,1970,96,865,12-Apr
Oregon,1527,52,,12-Apr
Pennsylvania,22938,557,,12-Apr
Puerto Rico,897,44,,12-Apr
Rhode Island,2665,63,35,12-Apr
South Carolina,3320,82,,12-Apr
South Dakota,730,6,197,12-Apr
Tennessee,5508,106,1504,12-Apr
Texas,13677,283,2014,12-Apr
Utah,2303,18,,12-Apr
Vermont,727,27,15,12-Apr
Virginia,5274,141,,12-Apr
Washington,10609,506,,12-Apr
West Virginia,593,6,83,12-Apr
Wisconsin,3341,144,,12-Apr
Wyoming,270,0,137,12-Apr
American Samoa,0,0,,12-Apr
Northern Mariana Islands,11,2,,12-Apr
Recovered,0,0,32988,12-Apr
Virgin Islands,51,1,43,12-Apr
Alabama,3734,99,,13-Apr
Alaska,277,8,85,13-Apr
American Samoa,0,0,,13-Apr
Arizona,3705,122,,13-Apr
Arkansas,1410,29,391,13-Apr
California,23931,714,,13-Apr
Colorado,7691,306,,13-Apr
Connecticut,13381,602,,13-Apr
Delaware,1758,41,213,13-Apr
Diamond Princess,49,0,0,13-Apr
District of Columbia,1955,52,507,13-Apr
Florida,21019,499,,13-Apr
Georgia,13315,465,,13-Apr
Grand Princess,103,0,0,13-Apr
Guam,133,5,58,13-Apr
Hawaii,504,9,310,13-Apr
Idaho,1426,27,,13-Apr
Illinois,22025,798,,13-Apr
Indiana,8359,350,,13-Apr
Iowa,1710,41,741,13-Apr
Kansas,1390,62,,13-Apr
Kentucky,2018,113,607,13-Apr
Louisiana,21016,884,,13-Apr
Maine,698,19,273,13-Apr
Maryland,8936,262,603,13-Apr
Massachusetts,26867,844,,13-Apr
Michigan,25635,1602,447,13-Apr
Minnesota,1621,70,842,13-Apr
Mississippi,2942,98,,13-Apr
Missouri,4515,123,,13-Apr
Montana,394,7,171,13-Apr
Nebraska,814,17,,13-Apr
Nevada,2990,114,,13-Apr
New Hampshire,985,23,239,13-Apr
New Jersey,64584,2443,,13-Apr
New Mexico,1262,26,295,13-Apr
New York,195749,10058,23887,13-Apr
North Carolina,4886,94,,13-Apr
North Dakota,331,8,127,13-Apr
Northern Mariana Islands,11,2,,13-Apr
Ohio,6975,274,,13-Apr
Oklahoma,2069,99,865,13-Apr
Oregon,1584,53,,13-Apr
Pennsylvania,24292,589,,13-Apr
Puerto Rico,903,45,,13-Apr
Rhode Island,2665,63,135,13-Apr
South Carolina,3391,82,,13-Apr
South Dakota,868,6,207,13-Apr
Tennessee,5610,109,1671,13-Apr
Texas,14275,305,2269,13-Apr
Utah,2363,13,218,13-Apr
Vermont,748,28,15,13-Apr
Virgin Islands,51,1,43,13-Apr
Virginia,5747,149,,13-Apr
Washington,10635,513,,13-Apr
West Virginia,611,8,85,13-Apr
Wisconsin,3428,154,,13-Apr
Wyoming,275,1,138,13-Apr
Recovered,0,0,43482,13-Apr
Alabama,3953,114,,14-Apr
Alaska,285,9,98,14-Apr
American Samoa,0,0,,14-Apr
Arizona,3809,131,249,14-Apr
Arkansas,1498,32,427,14-Apr
California,25356,767,,14-Apr
Colorado,7950,327,,14-Apr
Connecticut,13989,671,,14-Apr
Delaware,1926,43,277,14-Apr
Diamond Princess,49,0,0,14-Apr
District of Columbia,2058,67,518,14-Apr
Florida,21628,571,,14-Apr
Georgia,14578,525,,14-Apr
Grand Princess,103,0,0,14-Apr
Guam,133,5,66,14-Apr
Hawaii,511,9,315,14-Apr
Idaho,1464,33,,14-Apr
Illinois,23248,868,,14-Apr
Indiana,8527,387,,14-Apr
Iowa,1899,49,741,14-Apr
Kansas,1441,69,,14-Apr
Kentucky,2048,106,629,14-Apr
Louisiana,21518,1013,,14-Apr
Maine,735,20,292,14-Apr
Maryland,9472,302,607,14-Apr
Massachusetts,28164,844,,14-Apr
Michigan,27001,1768,452,14-Apr
Minnesota,1695,79,909,14-Apr
Mississippi,3087,111,,14-Apr
Missouri,4746,149,,14-Apr
Montana,399,7,197,14-Apr
Nebraska,897,20,,14-Apr
Nevada,3134,126,,14-Apr
New Hampshire,922,25,249,14-Apr
New Jersey,68824,2805,,14-Apr
New Mexico,1345,31,304,14-Apr
New York,203020,10842,23887,14-Apr
North Carolina,5113,112,,14-Apr
North Dakota,341,8,138,14-Apr
Northern Mariana Islands,11,2,,14-Apr
Ohio,7285,324,,14-Apr
Oklahoma,2184,108,1060,14-Apr
Oregon,1633,55,,14-Apr
Pennsylvania,25465,691,,14-Apr
Puerto Rico,923,45,,14-Apr
Rhode Island,3251,80,135,14-Apr
South Carolina,3553,97,,14-Apr
South Dakota,988,6,261,14-Apr
Tennessee,5827,124,1969,14-Apr
Texas,15006,342,2580,14-Apr
Utah,2417,18,218,14-Apr
Vermont,752,29,15,14-Apr
Virgin Islands,51,1,44,14-Apr
Virginia,6182,154,721,14-Apr
Washington,10799,530,,14-Apr
West Virginia,640,9,147,14-Apr
Wisconsin,3555,170,,14-Apr
Wyoming,282,1,140,14-Apr
Recovered,0,0,47763,14-Apr
Alabama,4075,118,,15-Apr
Alaska,293,9,106,15-Apr
American Samoa,0,0,,15-Apr
Arizona,3964,142,385,15-Apr
Arkansas,1569,33,489,15-Apr
California,26686,860,,15-Apr
Colorado,7956,328,,15-Apr
Connecticut,14755,868,,15-Apr
Delaware,2014,46,354,15-Apr
Diamond Princess,49,0,0,15-Apr
District of Columbia,2197,72,530,15-Apr
Florida,22511,596,,15-Apr
Georgia,14987,552,,15-Apr
Grand Princess,103,0,0,15-Apr
Guam,135,5,73,15-Apr
Hawaii,524,9,333,15-Apr
Idaho,1473,39,,15-Apr
Illinois,24593,949,,15-Apr
Indiana,8960,436,,15-Apr
Iowa,1995,53,908,15-Apr
Kansas,1504,71,,15-Apr
Kentucky,2210,115,653,15-Apr
Louisiana,21951,1103,,15-Apr
Maine,770,24,305,15-Apr
Maryland,10032,311,607,15-Apr
Massachusetts,29918,1108,,15-Apr
Michigan,28059,1921,452,15-Apr
Minnesota,1809,87,940,15-Apr
Mississippi,3360,122,,15-Apr
Missouri,4791,153,,15-Apr
Montana,404,7,209,15-Apr
Nebraska,901,20,,15-Apr
Nevada,3211,131,,15-Apr
New Hampshire,1139,32,365,15-Apr
New Jersey,71030,3156,,15-Apr
New Mexico,1484,36,340,15-Apr
New York,214454,11617,23887,15-Apr
North Carolina,5340,130,,15-Apr
North Dakota,365,9,142,15-Apr
Northern Mariana Islands,13,2,,15-Apr
Ohio,7794,362,,15-Apr
Oklahoma,2263,123,1115,15-Apr
Oregon,1663,58,,15-Apr
Pennsylvania,26753,779,,15-Apr
Puerto Rico,974,51,,15-Apr
Rhode Island,3251,80,168,15-Apr
South Carolina,3656,106,,15-Apr
South Dakota,1168,6,329,15-Apr
Tennessee,5827,124,2196,15-Apr
Texas,15907,375,3150,15-Apr
Utah,2548,20,218,15-Apr
Vermont,759,29,15,15-Apr
Virgin Islands,51,1,44,15-Apr
Virginia,6500,195,752,15-Apr
Washington,10942,552,,15-Apr
West Virginia,702,10,211,15-Apr
Wisconsin,3721,183,,15-Apr
Wyoming,287,1,129,15-Apr
Recovered,0,0,52096,15-Apr
Alabama,4345,133,,16-Apr
Alaska,300,9,110,16-Apr
American Samoa,0,0,,16-Apr
Arizona,4237,150,460,16-Apr
Arkansas,1620,37,548,16-Apr
California,27677,956,,16-Apr
Colorado,8286,355,,16-Apr
Connecticut,15884,971,,16-Apr
Delaware,2070,55,378,16-Apr
Diamond Princess,49,0,0,16-Apr
District of Columbia,2350,81,552,16-Apr
Florida,23343,668,,16-Apr
Georgia,15669,587,,16-Apr
Grand Princess,103,0,0,16-Apr
Guam,135,5,86,16-Apr
Hawaii,530,9,359,16-Apr
Idaho,1587,41,,16-Apr
Illinois,25734,1072,,16-Apr
Indiana,9542,477,,16-Apr
Iowa,2141,60,987,16-Apr
Kansas,1615,80,,16-Apr
Kentucky,2435,129,862,16-Apr
Louisiana,22532,1156,,16-Apr
Maine,796,27,333,16-Apr
Maryland,10784,319,736,16-Apr
Massachusetts,32181,1108,,16-Apr
Michigan,28809,1996,617,16-Apr
Minnesota,1809,87,1020,16-Apr
Mississippi,3624,129,,16-Apr
Missouri,5174,169,,16-Apr
Montana,415,7,218,16-Apr
Nebraska,952,21,,16-Apr
Nevada,3214,137,,16-Apr
New Hampshire,1139,32,365,16-Apr
New Jersey,75317,3518,,16-Apr
New Mexico,1484,36,353,16-Apr
New York,223691,14832,23887,16-Apr
North Carolina,5639,150,,16-Apr
North Dakota,393,9,163,16-Apr
Northern Mariana Islands,13,2,,16-Apr
Ohio,8414,407,,16-Apr
Oklahoma,2357,131,1240,16-Apr
Oregon,1736,64,,16-Apr
Pennsylvania,28258,841,,16-Apr
Puerto Rico,1043,56,,16-Apr
Rhode Island,3529,87,182,16-Apr
South Carolina,3931,111,,16-Apr
South Dakota,1311,7,373,16-Apr
Tennessee,6375,136,2786,16-Apr
Texas,16876,414,3677,16-Apr
Utah,2683,20,357,16-Apr
Vermont,774,33,15,16-Apr
Virgin Islands,51,1,46,16-Apr
Virginia,6889,208,951,16-Apr
Washington,11057,579,,16-Apr
West Virginia,728,12,223,16-Apr
Wisconsin,3875,197,,16-Apr
Wyoming,296,2,148,16-Apr
Recovered,0,0,54703,16-Apr
Alabama,4571,148,,17-Apr
Alaska,309,9,128,17-Apr
American Samoa,0,0,,17-Apr
Arizona,4511,169,539,17-Apr
Arkansas,1695,37,593,17-Apr
California,29157,1037,,17-Apr
Colorado,8691,372,,17-Apr
Connecticut,16809,1036,,17-Apr
Delaware,2317,61,378,17-Apr
Diamond Princess,49,0,0,17-Apr
District of Columbia,2476,86,573,17-Apr
Florida,24759,725,,17-Apr
Georgia,17194,650,,17-Apr
Grand Princess,103,0,0,17-Apr
Guam,136,5,97,17-Apr
Hawaii,541,9,374,17-Apr
Idaho,1609,41,390,17-Apr
Illinois,27578,1132,,17-Apr
Indiana,10154,522,,17-Apr
Iowa,2332,64,1007,17-Apr
Kansas,1730,82,,17-Apr
Kentucky,2522,137,956,17-Apr
Louisiana,23118,1213,,17-Apr
Maine,827,29,352,17-Apr
Maryland,11572,334,736,17-Apr
Massachusetts,34402,1245,,17-Apr
Michigan,30023,2227,629,17-Apr
Minnesota,2070,111,1066,17-Apr
Mississippi,3793,140,,17-Apr
Missouri,5371,184,,17-Apr
Montana,422,8,233,17-Apr
Nebraska,1066,24,,17-Apr
Nevada,3524,142,,17-Apr
New Hampshire,1287,37,455,17-Apr
New Jersey,78467,3840,,17-Apr
New Mexico,1597,44,353,17-Apr
New York,230597,17131,23887,17-Apr
North Carolina,6045,177,,17-Apr
North Dakota,393,9,172,17-Apr
Northern Mariana Islands,13,2,,17-Apr
Ohio,9107,418,,17-Apr
Oklahoma,2465,136,1331,17-Apr
Oregon,1785,70,,17-Apr
Pennsylvania,29888,921,,17-Apr
Puerto Rico,1068,58,,17-Apr
Rhode Island,4177,118,196,17-Apr
South Carolina,4099,116,,17-Apr
South Dakota,1411,7,457,17-Apr
Tennessee,6263,141,3017,17-Apr
Texas,17849,451,4190,17-Apr
Utah,2793,23,443,17-Apr
Vermont,779,35,15,17-Apr
Virgin Islands,51,2,46,17-Apr
Virginia,7491,231,1110,17-Apr
Washington,11517,603,,17-Apr
West Virginia,775,16,223,17-Apr
Wisconsin,4053,206,,17-Apr
Wyoming,305,2,148,17-Apr
Recovered,0,0,58545,17-Apr
Alabama,4712,153,,18-Apr
Alaska,314,9,147,18-Apr
American Samoa,0,0,,18-Apr
Arizona,4724,180,539,18-Apr
Arkansas,1744,38,703,18-Apr
California,30491,1140,,18-Apr
Colorado,9047,389,,18-Apr
Connecticut,17550,1086,,18-Apr
